month,state,totals
2017-06,Oregon,27103
2017-06,Pennsylvania,76201
2017-06,Puerto Rico,1631
2017-06,Rhode Island,1899
2017-06,South Carolina,32995
2017-06,South Dakota,6704
2017-06,Tennessee,52959
2017-06,Texas,118091
2017-06,Utah,22138
2017-06,Vermont,2382
2017-06,Virgin Islands,153
2017-06,Virginia,36838
2017-06,Washington,46023
2017-06,West Virginia,14498
2017-06,Wisconsin,36267
2017-06,Wyoming,3975
2017-05,Alabama,33331
2017-05,Alaska,6442
2017-05,Arizona,28734
2017-05,Arkansas,16749
2017-05,California,129307
2017-05,Colorado,36008
2017-05,Connecticut,16149
2017-05,Delaware,4012
2017-05,District of Columbia,82
2017-05,Florida,96556
2017-05,Georgia,36905
2017-05,Guam,157
2017-05,Hawaii,1117
2017-05,Idaho,13065
2017-05,Illinois,121746
2017-05,Indiana,54347
2017-05,Iowa,10232
2017-05,Kansas,12337
2017-05,Kentucky,391740
2017-05,Louisiana,21311
2017-05,Maine,7200
2017-05,Mariana Islands,12
2017-05,Maryland,11660
2017-05,Massachusetts,16651
2017-05,Michigan,38548
2017-05,Minnesota,55570
2017-05,Mississippi,15680
2017-05,Missouri,34965
2017-05,Montana,9418
2017-05,Nebraska,5025
2017-05,Nevada,9803
2017-05,New Hampshire,8868
2017-05,New Jersey,8694
2017-05,New Mexico,11291
2017-05,New York,31294
2017-05,North Carolina,39413
2017-05,North Dakota,4654
2017-05,Ohio,56229
2017-05,Oklahoma,22693
2017-05,Oregon,26466
2017-05,Pennsylvania,79725
2017-05,Puerto Rico,1600
2017-05,Rhode Island,1883
2017-05,South Carolina,31248
2017-05,South Dakota,7004
2017-05,Tennessee,57763
2017-05,Texas,109732
2017-05,Utah,23844
2017-05,Vermont,2577
2017-05,Virgin Islands,79
2017-05,Virginia,36007
2017-05,Washington,45816
2017-05,West Virginia,15085
2017-05,Wisconsin,37888
2017-05,Wyoming,4128
2017-04,Alabama,32652
2017-04,Alaska,6983
