month,state,killed,injured
21-Jun-,Georgia,0,1
27-Mar-,Georgia,0,1
27-Feb-,Georgia,0,1
2018-09,Georgia,,
2018-08,Georgia,,
2018-07,Georgia,,
2018-06,Georgia,,
2018-05,Georgia,,
2018-04,Georgia,,
2018-03,Georgia,,
2018-02,Georgia,,
2018-01,Georgia,,
2017-12,Georgia,,
2017-11,Georgia,,
2017-10,Georgia,,
2017-09,Georgia,,
2017-08,Georgia,,
2017-07,Georgia,,
2017-06,Georgia,,
2017-05,Georgia,,
2017-04,Georgia,,
2017-03,Georgia,,
2017-02,Georgia,,
2017-01,Georgia,,
2016-12,Georgia,,
2016-11,Georgia,,
2016-10,Georgia,,
2016-09,Georgia,,
2016-08,Georgia,,
2016-07,Georgia,,
2016-06,Georgia,,
2016-05,Georgia,,
2016-04,Georgia,,
2016-03,Georgia,,
2016-02,Georgia,,
2016-01,Georgia,,
2015-12,Georgia,,
2015-11,Georgia,,
2015-10,Georgia,,
2015-09,Georgia,,
2015-08,Georgia,,
2015-07,Georgia,,
2015-06,Georgia,,
2015-05,Georgia,,
2015-04,Georgia,,
2015-03,Georgia,,
2015-02,Georgia,,
2015-01,Georgia,,
2014-12,Georgia,,
2014-11,Georgia,,
2018-09,Guam,,
2018-08,Guam,,
2018-07,Guam,,
2018-06,Guam,,
2018-05,Guam,,
2018-04,Guam,,
2018-03,Guam,,
2018-02,Guam,,
2018-01,Guam,,
2017-12,Guam,,
2017-11,Guam,,
2017-10,Guam,,
2017-09,Guam,,
2017-08,Guam,,
2017-07,Guam,,
2017-06,Guam,,
2017-05,Guam,,
2017-04,Guam,,
2017-03,Guam,,
2017-02,Guam,,
2017-01,Guam,,
2016-12,Guam,,
2016-11,Guam,,
2016-10,Guam,,
2016-09,Guam,,
2016-08,Guam,,
2016-07,Guam,,
2016-06,Guam,,
2016-05,Guam,,
2016-04,Guam,,
2016-03,Guam,,
2016-02,Guam,,
2016-01,Guam,,
2015-12,Guam,,
2015-11,Guam,,
2015-10,Guam,,
2015-09,Guam,,
2015-08,Guam,,
2015-07,Guam,,
2015-06,Guam,,
2015-05,Guam,,
2015-04,Guam,,
2015-03,Guam,,
2015-02,Guam,,
2015-01,Guam,,
2014-12,Guam,,
2014-11,Guam,,
2018-09,Hawaii,,
2018-08,Hawaii,,
2018-07,Hawaii,,
2018-06,Hawaii,,
2018-05,Hawaii,,
2018-04,Hawaii,,
2018-03,Hawaii,,
2018-02,Hawaii,,
2018-01,Hawaii,,
2017-12,Hawaii,,
2017-11,Hawaii,,
2017-10,Hawaii,,
2017-09,Hawaii,,
2017-08,Hawaii,,
2017-07,Hawaii,,
2017-06,Hawaii,,
2017-05,Hawaii,,
2017-04,Hawaii,,
2017-03,Hawaii,,
2017-02,Hawaii,,
2017-01,Hawaii,,
2016-12,Hawaii,,
2016-11,Hawaii,,
2016-10,Hawaii,,
2016-09,Hawaii,,
2016-08,Hawaii,,
2016-07,Hawaii,,
2016-06,Hawaii,,
2016-05,Hawaii,,
2016-04,Hawaii,,
2016-03,Hawaii,,
2016-02,Hawaii,,
2016-01,Hawaii,,
2015-12,Hawaii,,
2015-11,Hawaii,,
2015-10,Hawaii,,
2015-09,Hawaii,,
2015-08,Hawaii,,
2015-07,Hawaii,,
2015-06,Hawaii,,
2015-05,Hawaii,,
2015-04,Hawaii,,
2015-03,Hawaii,,
2015-02,Hawaii,,
2015-01,Hawaii,,
2014-12,Hawaii,,
2014-11,Hawaii,,
22-Jun-,Idaho,0,1
12-Nov-,Idaho,0,2
21-Sep-,Idaho,0,1
2-Jul-01,Idaho,0,1
9-May-01,Idaho,0,1
18-Nov-,Idaho,0,1
21-Feb-,Idaho,0,1
21-Aug-,Idaho,0,1
2018-09,Idaho,,
2018-08,Idaho,,
2018-07,Idaho,,
2018-06,Idaho,,
2018-05,Idaho,,
2018-04,Idaho,,
2018-03,Idaho,,
2018-02,Idaho,,
2018-01,Idaho,,
2017-12,Idaho,,
2017-11,Idaho,,
2017-10,Idaho,,
2017-09,Idaho,,
2017-08,Idaho,,
2017-07,Idaho,,
2017-06,Idaho,,
2017-05,Idaho,,
2017-04,Idaho,,
2017-03,Idaho,,
2017-02,Idaho,,
2017-01,Idaho,,
2016-12,Idaho,,
2016-11,Idaho,,
2016-10,Idaho,,
2016-09,Idaho,,
2016-08,Idaho,,
2016-07,Idaho,,
2016-06,Idaho,,
2016-05,Idaho,,
2016-04,Idaho,,
2016-03,Idaho,,
2016-02,Idaho,,
2016-01,Idaho,,
2015-12,Idaho,,
2015-11,Idaho,,
2015-10,Idaho,,
2015-09,Idaho,,
2015-08,Idaho,,
2015-07,Idaho,,
2015-06,Idaho,,
2015-05,Idaho,,
2015-04,Idaho,,
2015-03,Idaho,,
2015-02,Idaho,,
2015-01,Idaho,,
2014-12,Idaho,,
2014-11,Idaho,,
28-Sep-,Illinois,0,1
25-Sep-,Illinois,0,1
18-Jun-,Illinois,0,1
12-Jun-,Illinois,0,0
17-Mar-,Illinois,0,2
2-Mar-01,Illinois,0,1
12-Feb-,Illinois,0,2
5-Feb-01,Illinois,0,1
8-Jan-01,Illinois,0,1
26-Oct-,Illinois,0,1
25-Oct-,Illinois,0,1
7-Oct-01,Illinois,0,1
19-Aug-,Illinois,0,1
30-Jun-,Illinois,0,1
28-Jun-,Illinois,0,1
2-Jun-01,Illinois,0,1
2-May-01,Illinois,0,1
29-Jan-,Illinois,0,1
29-Dec-,Illinois,0,3
7-Dec-01,Illinois,0,1
27-Nov-,Illinois,0,1
19-Nov-,Illinois,0,1
14-Oct-,Illinois,0,1
11-Oct-,Illinois,0,1
30-Aug-,Illinois,0,1
19-May-,Illinois,0,1
22-Apr-,Illinois,0,1
16-Mar-,Illinois,0,1
10-Mar-,Illinois,0,1
3-Mar-01,Illinois,0,1
30-Jan-,Illinois,0,1
17-Jan-,Illinois,0,1
16-Jan-,Illinois,0,1
17-Nov-,Illinois,0,1
4-Aug-01,Illinois,0,1
15-Jul-,Illinois,0,2
26-Jun-,Illinois,0,1
12-May-,Illinois,0,1
15-Apr-,Illinois,0,1
28-Mar-,Illinois,0,1
23-Mar-,Illinois,0,1
1-Mar-01,Illinois,0,1
29-Nov-,Illinois,0,1
2018-09,Illinois,,
2018-08,Illinois,,
2018-07,Illinois,,
2018-06,Illinois,,
2018-05,Illinois,,
2018-04,Illinois,,
2018-03,Illinois,,
2018-02,Illinois,,
2018-01,Illinois,,
2017-12,Illinois,,
2017-11,Illinois,,
2017-10,Illinois,,
2017-09,Illinois,,
2017-08,Illinois,,
2017-07,Illinois,,
2017-06,Illinois,,
2017-05,Illinois,,
2017-04,Illinois,,
2017-03,Illinois,,
2017-02,Illinois,,
2017-01,Illinois,,
2016-12,Illinois,,
2016-11,Illinois,,
2016-10,Illinois,,
2016-09,Illinois,,
2016-08,Illinois,,
2016-07,Illinois,,
2016-06,Illinois,,
2016-05,Illinois,,
2016-04,Illinois,,
2016-03,Illinois,,
2016-02,Illinois,,
2016-01,Illinois,,
2015-12,Illinois,,
2015-11,Illinois,,
2015-10,Illinois,,
2015-09,Illinois,,
2015-08,Illinois,,
2015-07,Illinois,,
2015-06,Illinois,,
2015-05,Illinois,,
2015-04,Illinois,,
2015-03,Illinois,,
2015-02,Illinois,,
2015-01,Illinois,,
2014-12,Illinois,,
2014-11,Illinois,,
3-Aug-01,Indiana,0,1
31-May-,Indiana,0,1
15-May-,Indiana,0,1
15-Apr-,Indiana,1,1
28-Feb-,Indiana,0,1
18-Dec-,Indiana,0,1
28-Jun-,Indiana,0,1
28-May-,Indiana,0,1
20-May-,Indiana,0,1
13-May-,Indiana,0,1
9-May-01,Indiana,0,1
27-Dec-,Indiana,0,1
4-Dec-01,Indiana,0,1
13-Nov-,Indiana,0,1
6-Nov-01,Indiana,0,2
17-Oct-,Indiana,0,2
20-Sep-,Indiana,0,1
15-Aug-,Indiana,0,1
4-Aug-01,Indiana,0,1
14-May-,Indiana,0,1
25-Apr-,Indiana,0,1
24-Apr-,Indiana,0,1
12-Apr-,Indiana,0,1
9-Apr-01,Indiana,0,1
12-Feb-,Indiana,0,1
26-Dec-,Indiana,0,1
20-Dec-,Indiana,0,1
26-Nov-,Indiana,0,1
17-Nov-,Indiana,0,1
18-Sep-,Indiana,0,1
13-Sep-,Indiana,0,1
21-Aug-,Indiana,0,1
14-Aug-,Indiana,0,1
2-Mar-01,Indiana,0,1
16-Feb-,Indiana,0,1
2018-09,Indiana,,
2018-08,Indiana,,
2018-07,Indiana,,
2018-06,Indiana,,
2018-05,Indiana,,
2018-04,Indiana,,
2018-03,Indiana,,
2018-02,Indiana,,
2018-01,Indiana,,
2017-12,Indiana,,
2017-11,Indiana,,
2017-10,Indiana,,
2017-09,Indiana,,
2017-08,Indiana,,
2017-07,Indiana,,
2017-06,Indiana,,
2017-05,Indiana,,
2017-04,Indiana,,
2017-03,Indiana,,
2017-02,Indiana,,
2017-01,Indiana,,
2016-12,Indiana,,
2016-11,Indiana,,
2016-10,Indiana,,
2016-09,Indiana,,
2016-08,Indiana,,
2016-07,Indiana,,
2016-06,Indiana,,
2016-05,Indiana,,
2016-04,Indiana,,
2016-03,Indiana,,
2016-02,Indiana,,
2016-01,Indiana,,
2015-12,Indiana,,
2015-11,Indiana,,
2015-10,Indiana,,
2015-09,Indiana,,
2015-08,Indiana,,
2015-07,Indiana,,
2015-06,Indiana,,
2015-05,Indiana,,
2015-04,Indiana,,
2015-03,Indiana,,
2015-02,Indiana,,
2015-01,Indiana,,
2014-12,Indiana,,
2014-11,Indiana,,
8-Jul-01,Iowa,0,1
15-May-,Iowa,0,1
10-Dec-,Iowa,0,1
5-Dec-01,Iowa,0,1
16-Nov-,Iowa,0,1
26-Jul-,Iowa,0,1
3-May-01,Iowa,0,1
28-Mar-,Iowa,0,1
25-Jun-,Iowa,0,1
24-Nov-,Iowa,0,2
6-Sep-01,Iowa,0,1
2018-09,Iowa,,
2018-08,Iowa,,
2018-07,Iowa,,
2018-06,Iowa,,
2018-05,Iowa,,
2018-04,Iowa,,
2018-03,Iowa,,
2018-02,Iowa,,
2018-01,Iowa,,
2017-12,Iowa,,
2017-11,Iowa,,
2017-10,Iowa,,
2017-09,Iowa,,
2017-08,Iowa,,
2017-07,Iowa,,
2017-06,Iowa,,
2017-05,Iowa,,
