Date,State,City_country,n_killed,n_injured
14-Jun-15,Missouri,Saint Louis,4,0
14-Jun-15,Oklahoma,Tulsa,4,0
14-Jun-15,New Jersey,Camden,3,1
15-Jun-15,New York,Brooklyn,4,0
16-Jun-15,Florida,Miami Gardens,4,0
17-Jun-15,South Carolina,Charleston,0,9
19-Jun-15,Rhode Island,Woonsocket,4,0
20-Jun-15,Michigan,Detroit,11,1
20-Jun-15,North Carolina,Morven,4,0
20-Jun-15,Pennsylvania,Philadelphia,10,0
21-Jun-15,Kentucky,Lexington,4,1
22-Jun-15,Pennsylvania,Philadelphia,7,0
24-Jun-15,New York,New York (Manhattan),4,0
25-Jun-15,Louisiana,New Orleans,4,0
27-Jun-15,Michigan,Detroit,4,0
27-Jun-15,Massachusetts,Taunton,3,1
28-Jun-15,Delaware,Harrington,6,0
28-Jun-15,Michigan,Detroit,5,0
28-Jun-15,Illinois,Venice,6,0
29-Jun-15,Florida,Opa Locka,4,0
2-Jul-15,Indiana,Indianapolis,3,1
4-Jul-15,Texas,San Antonio,4,0
4-Jul-15,New York,Syracuse,4,0
4-Jul-15,District of Columbia,Washington,3,1
4-Jul-15,Massachusetts,Pittsfield,4,1
4-Jul-15,Kentucky,Louisville,4,0
5-Jul-15,New Jersey,East Orange,3,1
5-Jul-15,Indiana,Fort Wayne,9,0
5-Jul-15,Louisiana,Shreveport,5,0
7-Jul-15,Maryland,Baltimore,1,3
7-Jul-15,Ohio,Cleveland,3,1
12-Jul-15,New Jersey,Jersey City,4,0
12-Jul-15,Illinois,River Forest,3,1
13-Jul-15,California,Stockton,4,1
13-Jul-15,California,Norwalk,4,0
14-Jul-15,Missouri,Saint Louis,4,0
15-Jul-15,Michigan,Detroit,4,0
15-Jul-15,Georgia,Atlanta,4,0
15-Jul-15,South Carolina,Holly Hill,1,4
15-Jul-15,Ohio,Cleveland,7,0
15-Jul-15,Maryland,Baltimore,3,1
16-Jul-15,Tennessee,Chattanooga,2,5
16-Jul-15,Texas,Dallas,4,0
17-Jul-15,Ohio,Cincinnati,4,0
17-Jul-15,District of Columbia,Washington,3,1
17-Jul-15,Illinois,Chicago,5,0
18-Jul-15,Louisiana,Baton Rouge,2,2
18-Jul-15,Oregon,Salem,4,1
18-Jul-15,California,Santa Paula,4,0
18-Jul-15,California,San Diego,4,0
19-Jul-15,North Carolina,Rocky Mount,4,0
19-Jul-15,Kentucky,Louisville,6,0
19-Jul-15,Virginia,Suffolk,4,0
20-Jul-15,New York,Bronx,6,0
21-Jul-15,Florida,Miami Gardens,3,1
22-Jul-15,Georgia,Suwanee,0,4
22-Jul-15,Missouri,Saint Louis,6,0
23-Jul-15,Louisiana,Lafayette,9,2
24-Jul-15,Pennsylvania,Erie,3,2
25-Jul-15,Virginia,Hopewell,4,0
26-Jul-15,Louisiana,New Orleans,4,0
26-Jul-15,Missouri,Kansas City,3,2
27-Jul-15,Illinois,Rockford,5,0
30-Jul-15,Pennsylvania,Pittsburgh,4,0
1-Aug-15,Florida,Orlando,4,0
2-Aug-15,Illinois,Chicago,4,0
2-Aug-15,Georgia,Savannah,5,0
2-Aug-15,Illinois,Chicago,4,1
2-Aug-15,Maryland,Baltimore,7,0
2-Aug-15,New York,Brooklyn,9,0
3-Aug-15,New York,Brooklyn,5,0
4-Aug-15,Missouri,Saint Louis,4,1
6-Aug-15,South Carolina,Columbia,4,0
7-Aug-15,Vermont,Barre,0,4
8-Aug-15,Texas,Houston,0,8
8-Aug-15,Arkansas,Blytheville,11,1
8-Aug-15,North Carolina,Gastonia,3,1
9-Aug-15,Missouri,Kansas City,4,0
9-Aug-15,Michigan,Detroit,3,1
9-Aug-15,Mississippi,Forest,3,1
10-Aug-15,California,Long Beach,4,0
15-Aug-15,South Carolina,Orangeburg,3,1
15-Aug-15,California,Los Angeles,4,0
15-Aug-15,Pennsylvania,Pittsburgh,3,1
16-Aug-15,South Carolina,Bennettsville,5,0
16-Aug-15,Illinois,Chicago,4,0
16-Aug-15,Texas,Fort Worth,6,0
19-Aug-15,New York,Rochester,3,3
21-Aug-15,Ohio,Cincinnati,5,1
21-Aug-15,North Carolina,Durham,8,0
22-Aug-15,Florida,Orlando,4,0
22-Aug-15,New Mexico,Roswell,1,3
23-Aug-15,California,Modesto,7,1
25-Aug-15,Louisiana,New Orleans,3,1
26-Aug-15,Florida,West Palm Beach,2,2
26-Aug-15,Illinois,Chicago,2,2
26-Aug-15,Minnesota,Minneapolis (Brooklyn Center),4,0
27-Aug-15,California,Salinas,2,2
27-Aug-15,Florida,Saint Augustine,2,2
28-Aug-15,New York,Brooklyn,3,1
29-Aug-15,Texas,Tyler,3,1
29-Aug-15,Tennessee,Bristol,1,3
30-Aug-15,Tennessee,Memphis,4,1
5-Sep-15,Missouri,Columbia,4,0
5-Sep-15,Nevada,Las Vegas,3,1
5-Sep-15,Florida,Daytona Beach,4,0
5-Sep-15,North Carolina,Charlotte,3,1
7-Sep-15,Minnesota,Excelsior,0,4
7-Sep-15,Colorado,Denver,4,0
7-Sep-15,Indiana,Gary,4,2
8-Sep-15,Georgia,Berlin,4,0
8-Sep-15,Illinois,Chicago,4,0
11-Sep-15,North Carolina,Charlotte,4,0
12-Sep-15,Minnesota,Minneapolis,3,1
12-Sep-15,Minnesota,Minneapolis,6,0
12-Sep-15,New York,Rochester,3,2
12-Sep-15,Louisiana,Shreveport,4,0
13-Sep-15,Florida,Ocala,5,1
15-Sep-15,New Jersey,Newark,4,0
17-Sep-15,Michigan,Albion,4,0
17-Sep-15,South Dakota,Geddes,0,5
19-Sep-15,Indiana,Indianapolis,3,1
20-Sep-15,Illinois,Chicago,5,1
20-Sep-15,Pennsylvania,Philadelphia,3,1
20-Sep-15,Oklahoma,Tulsa,6,0
23-Sep-15,Georgia,Norcross,3,1
23-Sep-15,Louisiana,Shreveport,5,0
23-Sep-15,Florida,Fort Myers,4,0
24-Sep-15,Illinois,Chicago,5,0
25-Sep-15,Illinois,Danville,4,0
27-Sep-15,Missouri,Kansas City,4,0
27-Sep-15,Illinois,Chicago,4,0
27-Sep-15,Georgia,Greenville,10,0
28-Sep-15,Ohio,Cincinnati,5,0
28-Sep-15,Ohio,Dayton,4,0
28-Sep-15,Illinois,Chicago,3,2
28-Sep-15,Illinois,Chicago,2,3
1-Oct-15,Oregon,Roseburg,9,9
2-Oct-15,Maryland,Baltimore,4,1
6-Oct-15,Maryland,Baltimore,5,0
9-Oct-15,Arizona,Flagstaff,3,1
10-Oct-15,Illinois,Peoria,3,1
10-Oct-15,North Carolina,Charlotte,4,0
10-Oct-15,Tennessee,Memphis,6,0
12-Oct-15,Georgia,Decatur,4,0
17-Oct-15,Indiana,Elkhart,4,0
17-Oct-15,Florida,Fort Myers,4,1
18-Oct-15,Louisiana,New Orleans,4,0
19-Oct-15,Illinois,Calumet City,6,0
22-Oct-15,Tennessee,Nashville,3,1
24-Oct-15,South Carolina,Bamberg,4,0
25-Oct-15,North Carolina,Four Oaks,5,0
25-Oct-15,District of Columbia,Washington,5,0
25-Oct-15,Arizona,Phoenix,4,1
26-Oct-15,Indiana,Evansville,2,0
27-Oct-15,Texas,Fort Worth,5,0
28-Oct-15,Louisiana,Houma,3,1
2-Nov-15,South Carolina,Pendleton,0,4
3-Nov-15,Florida,Jacksonville,3,2
6-Nov-15,California,Bakersfield,4,0
7-Nov-15,Colorado,Denver,3,1
8-Nov-15,Michigan,Warren,4,0
8-Nov-15,Iowa,Des Moines,3,1
9-Nov-15,Indiana,Indianapolis,2,2
13-Nov-15,Florida,Jacksonville,1,3
14-Nov-15,Pennsylvania,Johnstown,4,0
15-Nov-15,Pennsylvania,Philadelphia,4,0
15-Nov-15,Texas,Tennessee Colony,0,5
16-Nov-15,Alabama,Cedar Bluff,1,3
18-Nov-15,California,Fresno,5,0
20-Nov-15,Pennsylvania,Pittsburgh,3,1
21-Nov-15,Maryland,Baltimore,3,1
22-Nov-15,Washington,Seattle,4,0
22-Nov-15,Louisiana,New Orleans,17,0
22-Nov-15,Illinois,Chicago,4,0
22-Nov-15,South Carolina,North Charleston,3,1
22-Nov-15,New York,Newburgh,5,0
22-Nov-15,Texas,Brownsville,3,0
23-Nov-15,Ohio,Columbus,1,3
23-Nov-15,Minnesota,Minneapolis,5,0
24-Nov-15,South Carolina,Conway,4,0
27-Nov-15,California,Sacramento,2,2
27-Nov-15,Colorado,Colorado Springs,9,3
29-Nov-15,Illinois,Kankakee,5,0
2-Dec-15,Georgia,Savannah,3,1
2-Dec-15,California,San Bernardino,19,14
6-Dec-15,Nebraska,Omaha,3,2
6-Dec-15,Louisiana,Raceland,3,1
8-Dec-15,Ohio,Cincinnati,3,1
11-Dec-15,Pennsylvania,Pittsburgh,4,0
11-Dec-15,Maryland,Baltimore,3,1
12-Dec-15,Georgia,Savannah,4,0
12-Dec-15,Illinois,Lovejoy (Brooklyn),3,1
13-Dec-15,California,Huntington Beach,4,0
13-Dec-15,California,Los Angeles,3,1
19-Dec-15,Florida,Miami,4,1
20-Dec-15,Florida,North Miami Beach,4,0
20-Dec-15,North Carolina,Wilmington,4,1
21-Dec-15,California,San Leandro,4,0
25-Dec-15,Alabama,Mobile,4,0
25-Dec-15,Florida,Jacksonville,4,0
26-Dec-15,Pennsylvania,Philadelphia,4,0
27-Dec-15,Tennessee,Jackson,4,0
31-Dec-15,Louisiana,New Orleans,5,0
31-Dec-16,Georgia,Lenox (El Dorado),2,2
31-Dec-16,Texas,Houston,2,1
30-Dec-16,Ohio,Mansfield,5,0
30-Dec-16,Connecticut,Wallingford,3,2
28-Dec-16,Georgia,Columbus,4,1
25-Dec-16,Illinois,Chicago,4,3
25-Dec-16,Alabama,Ozark,4,0
