Date,State,City_country,n_killed,n_injured
10-May-15,New Jersey,Jersey City,0,4
10-May-15,Ohio,Cleveland,1,4
12-May-15,Maryland,Capitol Heights,1,4
12-May-15,Arizona,Tucson,5,0
16-May-15,Maryland,Baltimore,0,5
16-May-15,New York,Rochester,0,4
16-May-15,Wisconsin,Milwaukee,0,5
17-May-15,Texas,Waco,9,18
18-May-15,Florida,Miami,1,4
18-May-15,Missouri,Kinloch,0,4
20-May-15,Maryland,Baltimore,1,3
23-May-15,California,Fresno,2,2
24-May-15,Missouri,Saint Louis,0,4
24-May-15,Alabama,Montgomery,1,3
24-May-15,Michigan,Flint,0,7
24-May-15,Massachusetts,Brockton,0,5
25-May-15,Illinois,Decatur,1,4
26-May-15,Louisiana,New Orleans,2,2
28-May-15,Pennsylvania,Chester,1,3
28-May-15,Illinois,Chicago,0,5
28-May-15,Nebraska,Omaha,0,4
30-May-15,California,San Diego,0,4
31-May-15,Connecticut,New Haven,0,5
31-May-15,Maryland,Springdale,1,3
31-May-15,Ohio,Cleveland,3,1
31-May-15,Georgia,Conyers,3,2
3-Jun-15,New York,Wyandanch,3,1
5-Jun-15,Louisiana,New Orleans,1,3
5-Jun-15,Iowa,Davenport,0,5
6-Jun-15,Illinois,Chicago,0,5
6-Jun-15,New York,Buffalo,1,4
7-Jun-15,Montana,Deer Lodge,5,0
9-Jun-15,Missouri,Saint Louis,1,3
10-Jun-15,California,Los Angeles,1,3
11-Jun-15,Texas,Houston,1,3
11-Jun-15,Connecticut,Bridgeport,1,8
12-Jun-15,Florida,Allapattah,0,4
13-Jun-15,Ohio,Columbus,4,1
13-Jun-15,New York,Bronx,0,5
13-Jun-15,Georgia,Milledgeville,1,3
13-Jun-15,Oklahoma,Oklahoma City,0,4
13-Jun-15,Georgia,Fayetteville,1,4
14-Jun-15,Missouri,Saint Louis,0,4
14-Jun-15,Oklahoma,Tulsa,0,4
14-Jun-15,New Jersey,Camden,1,3
15-Jun-15,New York,Brooklyn,0,4
16-Jun-15,Florida,Miami Gardens,0,4
17-Jun-15,South Carolina,Charleston,9,0
19-Jun-15,Rhode Island,Woonsocket,0,4
20-Jun-15,Michigan,Detroit,1,11
20-Jun-15,North Carolina,Morven,0,4
20-Jun-15,Pennsylvania,Philadelphia,0,10
21-Jun-15,Kentucky,Lexington,1,4
22-Jun-15,Pennsylvania,Philadelphia,0,7
24-Jun-15,New York,New York (Manhattan),0,4
25-Jun-15,Louisiana,New Orleans,0,4
27-Jun-15,Michigan,Detroit,0,4
27-Jun-15,Massachusetts,Taunton,1,3
28-Jun-15,Delaware,Harrington,0,6
28-Jun-15,Michigan,Detroit,0,5
28-Jun-15,Illinois,Venice,0,6
29-Jun-15,Florida,Opa Locka,0,4
2-Jul-15,Indiana,Indianapolis,1,3
4-Jul-15,Texas,San Antonio,0,4
4-Jul-15,New York,Syracuse,0,4
4-Jul-15,District of Columbia,Washington,1,3
4-Jul-15,Massachusetts,Pittsfield,1,4
4-Jul-15,Kentucky,Louisville,0,4
5-Jul-15,New Jersey,East Orange,1,3
5-Jul-15,Indiana,Fort Wayne,0,9
5-Jul-15,Louisiana,Shreveport,0,6
7-Jul-15,Maryland,Baltimore,3,1
7-Jul-15,Ohio,Cleveland,1,3
12-Jul-15,New Jersey,Jersey City,0,4
12-Jul-15,Illinois,River Forest,2,3
13-Jul-15,California,Stockton,1,4
13-Jul-15,California,Norwalk,0,4
14-Jul-15,Missouri,Saint Louis,0,4
15-Jul-15,Michigan,Detroit,0,4
15-Jul-15,South Carolina,Holly Hill,4,1
15-Jul-15,Ohio,Cleveland,0,7
15-Jul-15,Maryland,Baltimore,1,3
15-Jul-15,Georgia,Atlanta,0,5
16-Jul-15,Tennessee,Chattanooga,6,2
16-Jul-15,Texas,Dallas,0,5
17-Jul-15,Ohio,Cincinnati,0,4
17-Jul-15,District of Columbia,Washington,1,3
17-Jul-15,Illinois,Chicago,0,5
18-Jul-15,Louisiana,Baton Rouge,2,2
18-Jul-15,Oregon,Salem,1,4
18-Jul-15,California,Santa Paula,0,5
18-Jul-15,California,San Diego,0,4
19-Jul-15,North Carolina,Rocky Mount,0,4
19-Jul-15,Kentucky,Louisville,0,6
19-Jul-15,Virginia,Suffolk,0,4
20-Jul-15,New York,Bronx,0,6
21-Jul-15,Florida,Miami Gardens,1,3
22-Jul-15,Georgia,Suwanee,5,0
22-Jul-15,Missouri,Saint Louis,0,6
23-Jul-15,Louisiana,Lafayette,3,9
24-Jul-15,Pennsylvania,Erie,2,5
25-Jul-15,Virginia,Hopewell,0,4
26-Jul-15,Louisiana,New Orleans,0,4
26-Jul-15,Missouri,Kansas City,2,3
27-Jul-15,Illinois,Rockford,0,5
30-Jul-15,Pennsylvania,Pittsburgh,0,4
1-Aug-15,Florida,Orlando,0,4
2-Aug-15,Illinois,Chicago,0,4
2-Aug-15,Georgia,Savannah,0,5
2-Aug-15,Illinois,Chicago,1,4
2-Aug-15,Maryland,Baltimore,0,7
2-Aug-15,New York,Brooklyn,0,9
3-Aug-15,New York,Brooklyn,0,5
4-Aug-15,Missouri,Saint Louis,1,4
6-Aug-15,South Carolina,Columbia,0,4
7-Aug-15,Vermont,Barre,4,0
8-Aug-15,Texas,Houston,8,0
8-Aug-15,Arkansas,Blytheville,1,11
8-Aug-15,North Carolina,Gastonia,2,3
9-Aug-15,Missouri,Kansas City,0,4
9-Aug-15,Michigan,Detroit,1,3
9-Aug-15,Mississippi,Forest,1,3
10-Aug-15,California,Long Beach,0,4
15-Aug-15,South Carolina,Orangeburg,1,3
15-Aug-15,California,Los Angeles,0,4
15-Aug-15,Pennsylvania,Pittsburgh,1,3
16-Aug-15,South Carolina,Bennettsville,0,5
16-Aug-15,Illinois,Chicago,0,4
16-Aug-15,Texas,Fort Worth,0,6
19-Aug-15,New York,Rochester,3,4
21-Aug-15,Ohio,Cincinnati,2,5
21-Aug-15,North Carolina,Durham,0,8
22-Aug-15,Florida,Orlando,0,4
22-Aug-15,New Mexico,Roswell,3,1
23-Aug-15,California,Modesto,1,7
25-Aug-15,Louisiana,New Orleans,1,3
26-Aug-15,Florida,West Palm Beach,2,2
26-Aug-15,Illinois,Chicago,2,2
26-Aug-15,Minnesota,Minneapolis (Brooklyn Center),0,4
27-Aug-15,California,Salinas,2,2
27-Aug-15,Florida,Saint Augustine,2,2
28-Aug-15,New York,Brooklyn,1,3
29-Aug-15,Texas,Tyler,1,3
29-Aug-15,Tennessee,Bristol,3,2
30-Aug-15,Tennessee,Memphis,1,4
5-Sep-15,Missouri,Columbia,0,4
5-Sep-15,Nevada,Las Vegas,1,3
5-Sep-15,Florida,Daytona Beach,0,4
5-Sep-15,North Carolina,Charlotte,1,3
7-Sep-15,Minnesota,Excelsior,5,0
7-Sep-15,Colorado,Denver,0,4
7-Sep-15,Indiana,Gary,2,4
8-Sep-15,Georgia,Berlin,0,4
8-Sep-15,Illinois,Chicago,0,4
11-Sep-15,North Carolina,Charlotte,0,5
12-Sep-15,Minnesota,Minneapolis,1,3
12-Sep-15,Minnesota,Minneapolis,0,6
12-Sep-15,New York,Rochester,2,4
12-Sep-15,Louisiana,Shreveport,0,4
13-Sep-15,Florida,Ocala,1,5
15-Sep-15,New Jersey,Newark,0,4
17-Sep-15,Michigan,Albion,0,4
17-Sep-15,South Dakota,Geddes,6,0
19-Sep-15,Indiana,Indianapolis,1,3
20-Sep-15,Illinois,Chicago,1,5
20-Sep-15,Pennsylvania,Philadelphia,1,3
20-Sep-15,Oklahoma,Tulsa,0,6
23-Sep-15,Georgia,Norcross,1,3
23-Sep-15,Louisiana,Shreveport,0,5
23-Sep-15,Florida,Fort Myers,0,4
24-Sep-15,Illinois,Chicago,0,5
25-Sep-15,Illinois,Danville,0,4
27-Sep-15,Missouri,Kansas City,0,4
27-Sep-15,Illinois,Chicago,0,4
27-Sep-15,Georgia,Greenville,0,10
28-Sep-15,Ohio,Cincinnati,0,5
28-Sep-15,Ohio,Dayton,0,4
28-Sep-15,Illinois,Chicago,2,3
28-Sep-15,Illinois,Chicago,3,2
1-Oct-15,Oregon,Roseburg,10,9
2-Oct-15,Maryland,Baltimore,1,4
6-Oct-15,Maryland,Baltimore,0,5
9-Oct-15,Arizona,Flagstaff,1,3
10-Oct-15,Illinois,Peoria,1,3
10-Oct-15,North Carolina,Charlotte,0,4
10-Oct-15,Tennessee,Memphis,0,6
12-Oct-15,Georgia,Decatur,0,4
17-Oct-15,Indiana,Elkhart,0,4
17-Oct-15,Florida,Fort Myers,1,4
18-Oct-15,Louisiana,New Orleans,0,4
19-Oct-15,Illinois,Calumet City,0,6
22-Oct-15,Tennessee,Nashville,1,3
24-Oct-15,South Carolina,Bamberg,0,4
25-Oct-15,North Carolina,Four Oaks,0,5
25-Oct-15,District of Columbia,Washington,0,5
25-Oct-15,Arizona,Phoenix,1,4
26-Oct-15,Indiana,Evansville,0,5
27-Oct-15,Texas,Fort Worth,0,5
28-Oct-15,Louisiana,Houma,1,3
2-Nov-15,South Carolina,Pendleton,4,0
3-Nov-15,Florida,Jacksonville,2,3
6-Nov-15,California,Bakersfield,0,4
7-Nov-15,Colorado,Denver,1,3
8-Nov-15,Michigan,Warren,0,4
8-Nov-15,Iowa,Des Moines,1,3
9-Nov-15,Indiana,Indianapolis,2,2
13-Nov-15,Florida,Jacksonville,4,1
14-Nov-15,Pennsylvania,Johnstown,0,4
15-Nov-15,Pennsylvania,Philadelphia,0,4
15-Nov-15,Texas,Tennessee Colony,5,0
16-Nov-15,Alabama,Cedar Bluff,3,1
18-Nov-15,California,Fresno,0,5
20-Nov-15,Pennsylvania,Pittsburgh,1,3
21-Nov-15,Maryland,Baltimore,1,3
22-Nov-15,Louisiana,New Orleans,0,17
22-Nov-15,Illinois,Chicago,0,4
22-Nov-15,South Carolina,North Charleston,1,3
22-Nov-15,New York,Newburgh,0,5
22-Nov-15,Washington,Seattle,0,4
22-Nov-15,Texas,Brownsville,0,4
23-Nov-15,Ohio,Columbus,4,1
23-Nov-15,Minnesota,Minneapolis,0,5
24-Nov-15,South Carolina,Conway,0,4
27-Nov-15,California,Sacramento,2,2
27-Nov-15,Colorado,Colorado Springs,3,9
29-Nov-15,Illinois,Kankakee,0,5
2-Dec-15,Georgia,Savannah,1,3
2-Dec-15,California,San Bernardino,16,19
6-Dec-15,Nebraska,Omaha,2,3
6-Dec-15,Louisiana,Raceland,1,3
8-Dec-15,Ohio,Cincinnati,1,3
11-Dec-15,Pennsylvania,Pittsburgh,0,4
11-Dec-15,Maryland,Baltimore,1,3
12-Dec-15,Georgia,Savannah,0,4
12-Dec-15,Illinois,Lovejoy (Brooklyn),1,3
13-Dec-15,California,Huntington Beach,0,4
13-Dec-15,California,Los Angeles,1,3
19-Dec-15,Florida,Miami,1,4
20-Dec-15,Florida,North Miami Beach,0,4
20-Dec-15,North Carolina,Wilmington,1,4
21-Dec-15,California,San Leandro,0,4
25-Dec-15,Alabama,Mobile,0,4
25-Dec-15,Florida,Jacksonville,0,4
26-Dec-15,Pennsylvania,Philadelphia,0,4
27-Dec-15,Tennessee,Jackson,0,4
31-Dec-15,Louisiana,New Orleans,0,6
31-Dec-16,Georgia,Lenox (El Dorado),2,2
31-Dec-16,Texas,Houston,1,3
30-Dec-16,Ohio,Mansfield,0,5
30-Dec-16,Connecticut,Wallingford,2,3
28-Dec-16,Georgia,Columbus,1,4
25-Dec-16,Illinois,Chicago,3,4
25-Dec-16,Alabama,Ozark,0,4
25-Dec-16,New York,Mount Vernon,1,5
24-Dec-16,North Carolina,Madison,0,7
